col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,Tableau 3-6 : Récapitulatif des résultats de limites d' Atterberg,,,,,,,
,,Réf,Cantons ,Localités ,Profondeurs (m),WL,WP,IP
,,1,BOHOU,BOHOU,1,32.88,10.94,21.94
,,1,BOHOU,BOHOU,1.5,36.53,11.82,24.71
,,1,BOHOU,BOHOU,2,55.27,15.85,39.42
,,1,BOHOU,MOYENNE,,41.56,12.87,28.69
,,2,LAMA,Feing,1,44.32,26.64,17.68
,,2,LAMA,Feing,1.5,35.18,20.58,14.6
,,2,LAMA,Feing,2,42.01,35.16,6.85
,,2,LAMA,Moyenne,,40.5,27.46,13.04
,,2,LAMA,Tchamdé,1,21.67,11.39,10.29
,,2,LAMA,Tchamdé,1.5,28.03,14.13,13.84
,,2,LAMA,Tchamdé,2,34.36,16.27,18.09
,,2,LAMA,Moyenne,,28.02,13.93,14.07
,,2,LAMA,MOYENNE LAMA,,34.26,20.69,13.56
